# Title: Stellar Rotation Periods of the Kepler Objects of Interest: A Dearth of Close-in Planets around Fast Rotators
# Authors: A. McQuillan, T. Mazeh and S. Aigrain
#
# Table 1. Stellar rotation periods for the KOIs.
#
# koi_id - KOI number
# keplerid - KIC number
# teff - KIC effective temperature (K)
# logg - KIC surface gravity (dex)
# R_pl - Planet Radius (R_earth) from the NASA Exoplanet Archive (NEA)
# P_orb - Planet orbital period (days) from the NASA Exoplanet Archive (NEA)
# P_rot - Stellar rotation period (days)
# P_rot_err - Uncertainty on P_rot
# R_var - amplitude of periodic variablity (mmags)
# Flag - N - KIC values missing so NEA values used; G - likely giant;  E - published EB; 
# ... B - published blend; T - likely eclipsing binary identified in this work; 
# ... C - centroid motion shows transit and rotation modulation on different stars.
#
#
koi_id,keplerid,teff,logg,R_pl,P_orb,P_rot,P_rot_err,R_var,Flag
599,10676824,5820,4.54,2.70,6.455,20.082,2.279,1.86,-
601,10973664,5862,4.58,1.62,1.208,11.004,0.004,16.75,-
605,4832837,4270,4.76,1.78,2.628,28.490,0.064,8.88,-
607,5441980,5497,4.61,7.20,5.894,13.147,0.118,12.98,E
610,5686174,4072,4.53,1.79,14.282,37.030,0.236,5.75,-
618,10353968,5471,4.52,2.90,9.071,26.162,0.541,7.68,-
620,11773022,5803,4.54,7.30,45.156,8.222,0.007,11.95,-
624,3541946,5537,4.73,1.35,1.312,15.369,0.010,8.80,-
632,4827723,5273,4.64,1.46,7.239,22.412,0.171,9.31,-
635,5020319,6065,4.42,2.73,16.720,8.885,0.318,3.74,-
638,5113822,5722,4.31,3.80,23.637,17.787,0.309,3.39,-
639,5120087,6166,4.44,2.70,17.980,7.768,0.005,1.11,-
640,5121511,5131,4.37,2.44,30.996,37.415,4.997,1.18,-
650,5786676,4928,4.32,2.30,11.955,36.367,0.522,2.49,-
652,5796675,4628,4.79,3.58,16.081,17.312,0.010,9.51,-
654,5941160,5799,4.24,2.54,8.595,18.937,2.194,2.12,-
658,6062088,5676,4.53,2.10,3.163,15.238,1.856,2.68,-
661,6347299,5825,4.40,2.20,14.401,16.934,1.627,1.80,-
665,6685609,5864,4.38,1.17,1.612,15.425,0.213,1.46,-
673,7124613,6338,4.34,2.25,4.417,4.790,0.172,1.55,-
676,7447200,4218,4.55,2.56,2.453,12.314,0.003,16.70,-
678,7509886,5073,4.17,3.52,4.139,13.845,0.007,27.24,-
683,7630229,5624,4.67,6.00,278.122,16.492,0.166,1.96,-
687,7976520,5606,4.50,1.46,4.178,19.025,0.065,4.13,-
694,8802165,5596,4.87,2.87,17.421,22.842,0.508,2.32,-
704,9266431,5276,4.47,2.80,18.396,20.912,0.087,6.44,-
714,9702072,5444,4.66,2.58,4.182,26.863,0.276,3.23,-
718,9884104,5801,4.67,2.58,4.586,17.101,0.090,1.35,-
719,9950612,4750,4.50,0.81,4.160,30.786,0.021,4.16,-
720,9963524,5123,4.54,1.56,2.796,9.399,0.004,16.50,-
723,10002866,5244,4.66,3.00,3.937,10.983,0.018,13.48,-
728,10221013,5976,4.54,11.20,7.189,19.508,0.041,4.99,-
733,10271806,5038,4.85,1.52,3.133,21.878,0.063,8.99,-
735,10287242,5080,4.47,5.70,22.341,27.521,0.070,64.03,-
739,10386984,3994,4.72,1.48,1.287,38.684,0.257,4.06,-
750,10662202,4619,4.62,2.19,21.677,12.636,0.004,9.12,-
751,10682541,5174,4.55,2.40,4.997,22.924,0.193,12.57,-
752,10797460,5584,4.41,2.50,9.488,24.924,2.799,3.51,-
753,10811496,5648,4.84,9.00,19.899,6.884,0.004,15.58,-
755,10854555,5781,4.44,2.80,2.526,20.479,0.435,6.29,-
757,10910878,4956,4.69,2.10,6.253,15.940,0.615,3.28,-
758,10987985,4869,4.28,2.70,16.013,21.273,0.058,14.24,-
765,11391957,5345,4.70,2.80,8.354,18.958,0.044,8.79,-
767,11414511,5431,4.44,12.00,2.817,24.066,0.092,4.99,-
774,11656840,5873,4.46,16.00,7.443,10.380,0.014,9.08,E
775,11754553,4075,4.54,2.21,7.877,11.953,0.006,12.82,-
777,11818800,5256,4.48,8.10,40.419,11.810,0.009,44.64,-
778,11853255,4082,4.61,1.61,2.243,35.835,0.033,4.85,-
781,11923270,3603,4.83,2.99,11.598,37.049,0.225,17.66,-
783,12020329,5284,4.76,4.30,7.275,41.148,0.550,5.24,-
784,12066335,4112,4.57,1.97,10.065,23.397,0.024,6.93,-
791,12644822,5564,4.53,7.10,12.612,23.408,0.092,7.78,-
797,3115833,5725,4.53,9.10,10.182,15.265,0.040,4.35,-
801,3351888,5472,4.39,8.70,1.626,30.292,7.752,3.57,-
802,3453214,5556,5.01,12.80,19.620,14.946,0.166,6.73,-
805,3734868,5415,4.37,13.40,10.328,10.140,0.041,10.14,-
806,3832474,5206,4.53,2.11,29.164,16.004,0.017,14.75,-
809,3935914,5690,4.48,12.10,1.595,16.493,0.059,4.65,-
810,3940418,4997,4.57,2.60,4.783,26.369,0.076,4.19,-
811,4049131,4764,4.43,3.60,20.506,23.475,0.031,14.53,-
812,4139816,4097,4.66,2.17,3.340,38.562,0.099,5.26,-
817,4725681,3758,4.77,1.96,8.296,15.433,0.005,17.22,-
818,4913852,3564,4.85,2.29,8.114,34.586,0.038,12.79,-
822,5077629,5458,4.61,11.30,7.919,11.978,0.003,9.14,E
823,5115978,5976,4.43,8.70,1.028,1.022,0.000,8.60,E
837,5531576,4817,4.75,1.28,4.145,32.402,0.240,8.00,-
838,5534814,5794,4.47,13.20,4.859,12.187,0.017,5.80,E
841,5792202,5226,4.66,2.80,6.546,14.741,0.011,26.39,-
842,5794379,4497,4.52,2.17,12.718,37.595,0.342,4.16,-
851,6392727,5570,4.55,5.40,4.584,7.654,0.009,17.31,-
853,6428700,4842,4.47,2.20,8.204,15.773,0.009,6.98,-
854,6435936,3562,4.86,2.18,56.056,20.206,0.003,16.89,-
857,6587280,5033,4.63,2.06,5.715,26.234,3.926,9.23,-
858,6599919,5440,4.45,12.60,13.610,17.494,0.015,14.90,-
867,6863998,5059,4.52,3.30,16.085,23.065,0.010,11.14,-
868,6867155,4118,4.52,9.30,235.974,28.730,0.049,20.11,-
869,6948054,5085,4.46,1.72,3.220,19.444,0.039,25.88,-
870,6949607,4590,4.29,2.17,5.912,17.951,0.016,14.03,-
871,7031517,5650,5.05,19.80,12.941,5.105,0.260,9.43,-
872,7109675,5127,4.59,1.48,6.767,27.859,0.075,5.97,-
874,7134976,5037,4.56,2.20,4.602,23.175,0.076,11.01,-
875,7135852,4198,4.87,2.77,4.221,38.304,0.258,5.16,-
877,7287995,4500,4.70,2.54,5.955,13.417,0.001,12.87,-
882,7377033,5081,4.57,18.00,1.957,3.928,0.000,36.07,T
883,7380537,4674,4.82,11.12,2.689,9.015,0.001,22.68,-
884,7434875,4931,4.87,1.45,3.336,33.838,3.500,4.26,-
886,7455287,3579,4.94,2.09,8.011,34.891,0.081,11.66,-
889,757450,5101,4.48,9.40,8.885,19.375,0.030,14.74,-
892,7678434,5010,4.60,1.31,3.970,23.593,0.069,5.77,-
895,7767559,5436,4.37,11.40,4.409,5.065,0.003,21.15,-
896,7825899,5190,4.70,3.22,6.308,25.066,0.009,10.61,-
897,7849854,5734,4.46,11.50,2.052,14.979,0.322,4.22,-
898,7870390,3989,4.72,2.18,5.170,22.045,0.011,5.60,-
