star pmax prot height tau quality
31 100 29.658 0.326 157.371 1515.06
32 1 0.838 0.119 0.023 3.57
32 3 2.678 0.062 0.143 7.22
32 5 6.173 0.084 0.392 8.78
32 10 7.583 0.069 2.224 3.29
32 30 20.481 1.135 44.757 605.98
32 50 20.767 0.984 50.806 1205.75
32 100 20.951 0.660 44.128 323.90
33 1 0.797 0.140 0.021 4.15
33 3 nan -inf nan nan
33 5 5.519 0.051 0.279 9.53
33 10 nan -inf nan nan
33 30 19.111 0.448 20.379 679.04
33 50 19.540 0.323 14.443 93.56
33 100 18.784 0.182 34.675 34.49
34 1 0.123 0.036 0.030 7.05
34 3 2.943 0.062 0.455 13.97
34 5 4.231 0.073 1.393 107.33
34 10 11.692 0.067 3.228 32.40
34 30 32.888 0.193 15.614 35.15
34 50 34.564 0.291 20.783 75.92
34 100 78.795 0.351 119.828 61.95
35 1 0.613 0.126 0.022 5.50
35 3 nan -inf nan nan
35 5 nan -inf nan nan
35 10 7.808 0.062 2.610 161.37
35 30 29.249 0.164 15.209 29.21
35 50 53.164 0.489 56.143 110.89
35 100 54.022 0.637 74.549 246.40
36 1 0.818 0.076 0.022 2.44
36 3 1.840 0.258 1.352 162.54
36 5 1.901 0.228 1.290 223.25
36 10 1.901 0.150 1.049 152.16
36 30 36.260 0.065 16.923 60.75
36 50 37.303 0.110 21.863 146.33
36 100 64.283 0.134 27.075 49.07
37 1 0.123 0.039 0.031 8.17
37 3 nan -inf nan nan
37 5 nan -inf nan nan
37 10 8.891 0.137 5.119 42.54
37 30 19.336 0.542 15.758 52.67
37 50 20.849 0.334 10.540 15.43
37 100 21.605 0.195 9.277 21.42
38 1 0.123 0.074 0.023 6.96
38 3 2.596 1.442 42.133 24710.28
38 5 2.596 1.456 38.131 31638.06
38 10 2.596 1.171 37.796 23399.17
38 30 3.843 0.167 4.252 100.41
38 50 3.781 0.057 0.407 4.53
38 100 3.781 0.241 0.408 3.65
39 1 0.777 0.138 0.021 4.20
39 3 nan -inf nan nan
39 5 nan -inf nan nan
39 10 12.734 0.105 17.654 411.92
39 30 12.898 0.355 48.817 5795.52
39 50 12.816 0.276 57.663 2200.02
39 100 12.019 0.088 1.584 5.72
40 1 0.593 0.141 0.982 53.38
40 3 nan -inf nan nan
40 5 nan -inf nan nan
