star pmax prot height tau quality
526 10 7.992 0.265 7.654 41.81
526 30 16.699 0.830 23.347 311.83
526 50 16.761 0.623 24.925 254.68
526 100 16.454 0.261 2.949 5.34
527 1 0.695 0.276 0.518 50.21
527 3 2.739 0.181 1.156 23.94
527 5 5.580 0.663 9.113 293.07
527 10 6.132 0.133 2.032 0.57
527 30 11.814 0.966 19.629 258.86
527 50 11.855 0.731 16.789 224.64
527 100 11.855 0.162 2.009 13.57
528 1 0.777 0.135 0.021 4.05
528 3 nan -inf nan nan
528 5 nan -inf nan nan
528 10 9.157 0.072 4.340 141.70
528 30 24.180 0.751 64.683 2238.04
528 50 24.548 0.769 44.084 1147.30
528 100 24.691 0.562 33.814 426.55
529 1 0.123 0.028 0.029 5.01
529 3 2.739 0.047 0.474 10.89
529 5 nan -inf nan nan
529 10 7.583 0.076 3.362 144.41
529 30 22.872 0.513 21.512 181.51
529 50 24.262 0.370 13.957 33.31
529 100 23.117 0.184 4.864 3.69
530 1 0.654 0.079 0.094 4.48
530 3 nan -inf nan nan
530 5 nan -inf nan nan
530 10 nan -inf nan nan
530 30 32.111 0.093 9.569 24.38
530 50 36.301 0.171 26.454 145.94
530 100 36.444 0.131 21.718 224.17
531 1 0.777 0.076 0.024 2.24
531 3 2.821 0.046 0.125 4.77
531 5 5.335 0.082 1.262 25.95
531 10 7.420 0.112 3.931 81.02
531 30 14.492 0.090 4.224 34.33
531 50 53.287 0.223 45.020 109.37
531 100 55.331 0.301 60.531 494.50
532 1 nan -inf nan nan
532 3 2.146 0.041 0.162 7.97
532 5 5.478 0.145 2.939 138.46
532 10 13.552 0.829 128.512 920.41
532 30 13.511 1.353 157.185 17825.83
532 50 13.490 1.123 203.036 26750.57
532 100 13.490 0.417 274.644 11665.47
533 1 0.736 0.110 0.029 3.78
533 3 2.678 0.155 0.874 33.42
533 5 4.517 0.192 1.686 44.22
533 10 nan -inf nan nan
533 30 18.968 0.643 31.639 229.60
533 50 18.723 0.386 37.942 104.55
533 100 35.340 0.085 6.050 2.36
534 1 0.756 0.133 0.021 4.21
534 3 nan -inf nan nan
534 5 5.028 0.051 0.287 11.49
534 10 10.138 0.121 5.642 159.83
534 30 28.636 0.689 24.309 78.93
534 50 32.152 0.791 32.510 152.21
534 100 33.562 0.635 58.711 76.22
535 1 0.818 0.279 0.349 40.63
535 3 2.514 0.281 0.970 55.68
535 5 4.292 0.241 5.170 35.54
535 10 8.605 0.158 2.722 35.28
535 30 24.160 0.392 18.268 69.46
535 50 26.613 0.197 12.487 4.42
535 100 59.480 0.815 71.009 127.14
536 1 0.123 0.039 0.028 5.95
536 3 5.314 0.161 9.523 40.39
536 5 5.069 0.287 2.553 31.22
536 10 7.195 0.224 17.013 7.42
536 30 13.429 1.208 80.385 3141.22
536 50 13.429 0.965 64.249 2452.56
536 100 13.306 0.347 41.295 525.80
537 1 0.777 0.117 2.357 73.91
537 3 2.351 0.085 0.624 33.81
537 5 3.495 0.134 1.436 160.90
537 10 8.605 0.114 2.720 27.51
537 30 35.381 0.362 23.024 45.79
537 50 38.018 0.586 54.163 438.38
537 100 38.999 0.189 14.672 6.63
538 1 0.715 0.084 0.153 7.18
538 3 2.555 0.104 0.158 4.79
538 5 2.800 0.086 1.015 55.25
538 10 7.726 0.085 0.551 8.83
538 30 27.819 0.085 9.549 14.45
538 50 40.798 0.468 78.438 1595.49
538 100 41.554 0.405 94.956 374.83
539 1 0.736 0.086 0.022 2.88
539 3 nan -inf nan nan
539 5 nan -inf nan nan
539 10 10.751 0.043 2.847 47.66
539 30 39.899 0.250 40.680 178.62
539 50 41.288 0.697 125.032 3530.72
539 100 42.413 0.678 71.258 132.38
540 1 0.675 0.147 0.021 4.93
540 3 nan -inf nan nan
540 5 nan -inf nan nan
540 10 14.635 0.064 7.988 111.44
540 30 14.737 0.326 48.406 3239.28
540 50 14.798 0.284 62.200 4124.20
540 100 15.044 0.136 55.872 1611.54
541 1 0.634 0.139 0.022 5.13
541 3 nan -inf nan nan
541 5 5.744 0.033 0.219 9.50
541 10 8.912 0.057 3.316 11.94
541 30 16.270 0.882 49.353 1799.90
541 50 16.331 0.786 40.969 2011.17
541 100 16.536 0.438 35.284 859.99
542 1 0.715 0.092 0.031 2.83
542 3 2.351 0.103 0.693 22.38
542 5 4.006 0.113 1.382 24.84
542 10 3.863 0.041 1.038 13.43
542 30 12.019 0.100 5.139 79.41
542 50 11.446 0.067 12.252 107.10
542 100 96.885 0.058 50.486 193.52
543 1 0.797 0.119 0.023 3.80
543 3 2.596 0.054 0.129 6.07
543 5 4.640 0.071 1.436 35.90
543 10 5.151 0.046 1.660 48.40
543 30 36.935 0.661 79.978 358.53
543 50 38.202 1.075 71.275 623.40
543 100 38.754 0.956 58.139 380.91
544 1 0.654 0.137 0.022 5.09
544 3 2.432 0.053 0.119 7.84
544 5 4.987 0.054 0.247 10.87
544 10 11.099 0.071 0.758 14.92
544 30 31.784 0.937 107.715 2691.41
544 50 32.193 1.287 192.742 4282.91
544 100 32.274 1.147 180.501 1225.49
545 1 0.797 0.126 0.031 3.56
545 3 2.555 0.178 0.919 42.67
545 5 3.986 0.213 1.597 71.25
545 10 8.666 0.154 3.501 31.11
545 30 29.699 0.347 9.953 21.31
545 50 41.595 0.280 24.393 64.61
545 100 80.962 0.237 161.922 40.47
546 1 0.920 0.132 0.044 3.80
546 3 2.310 0.039 0.106 5.70
546 5 4.395 0.042 0.200 12.08
546 10 nan -inf nan nan
546 30 39.183 0.141 9.314 12.66
546 50 39.142 0.215 20.460 67.49
546 100 64.774 0.277 44.316 77.19
547 1 0.634 0.136 0.022 5.23
547 3 4.701 0.124 0.177 3.99
547 5 4.579 0.423 7.315 787.46
547 10 4.660 0.472 6.564 3560.97
547 30 4.517 0.184 1.239 25.06
547 50 30.496 0.096 16.410 171.76
547 100 62.423 0.075 18.998 18.55
548 1 0.123 0.035 0.030 6.80
548 3 nan -inf nan nan
548 5 5.641 0.225 3.383 138.34
548 10 8.115 0.250 131.267 72.06
548 30 15.657 1.454 162.385 10025.70
548 50 15.657 1.240 172.391 21828.93
548 100 15.657 0.637 159.915 8651.57
549 1 0.123 0.035 0.031 7.30
549 3 nan -inf nan nan
549 5 4.742 0.048 1.413 31.34
549 10 9.402 0.133 6.456 141.55
549 30 20.951 0.280 15.453 74.23
549 50 22.095 0.147 8.666 13.00
549 100 49.035 0.132 13.866 7.72
550 1 0.736 0.081 0.022 2.52
550 3 nan -inf nan nan
550 5 nan -inf nan nan
550 10 nan -inf nan nan
550 30 14.574 0.080 7.473 696.57
550 50 13.163 0.049 3.176 14.87
550 100 81.984 0.111 43.172 133.17
551 1 0.715 0.134 0.022 4.63
551 3 nan -inf nan nan
551 5 nan -inf nan nan
551 10 9.464 0.263 4.243 21.19
551 30 23.874 1.555 290.353 20029.10
551 50 23.935 1.503 252.544 36312.92
551 100 23.935 1.157 244.998 19572.16
552 1 0.715 0.084 0.022 2.76
552 3 nan -inf nan nan
552 5 nan -inf nan nan
552 10 11.365 0.135 15.668 424.80
552 30 12.121 0.346 31.565 1485.78
552 50 11.916 0.266 27.058 229.12
552 100 24.691 0.033 3.256 2.05
553 1 0.123 0.035 0.030 6.85
553 3 3.025 0.055 0.132 4.58
553 5 3.250 0.077 0.996 84.51
553 10 8.135 0.100 4.337 113.53
553 30 19.500 0.091 5.534 37.98
553 50 18.743 0.066 5.848 111.87
553 100 16.945 0.040 4.847 65.96
554 1 0.123 0.037 0.031 7.66
554 3 nan -inf nan nan
554 5 nan -inf nan nan
554 10 9.464 0.107 4.115 111.39
554 30 27.962 0.576 24.593 180.96
554 50 30.455 0.640 26.553 190.61
554 100 31.641 0.472 27.375 35.27
555 1 0.818 0.255 0.330 33.43
555 3 2.453 0.295 1.028 50.37
555 5 4.272 0.307 5.385 40.91
555 10 8.626 0.302 3.441 47.92
555 30 39.899 0.540 44.565 46.48
555 50 39.694 1.052 177.964 2231.98
555 100 40.103 0.834 230.229 2091.46
556 1 0.920 0.175 0.890 34.90
556 3 0.920 0.101 2.441 86.53
556 5 1.860 0.085 0.341 10.22
556 10 11.528 0.068 0.592 3.74
556 30 31.498 0.122 7.135 13.83
556 50 33.337 0.187 19.709 110.42
556 100 37.528 0.079 10.980 37.74
557 1 0.715 0.127 0.023 3.97
557 3 nan -inf nan nan
557 5 nan -inf nan nan
557 10 7.052 0.061 6.790 63.03
557 30 15.003 0.486 266.676 18331.24
557 50 14.942 0.416 386.901 60295.21
557 100 14.942 0.206 407.977 52441.49
558 1 0.818 0.064 2.735 46.35
558 3 1.697 0.101 0.910 110.67
558 5 1.676 0.073 2.090 200.07
558 10 7.113 0.047 2.136 56.43
558 30 16.638 0.096 13.447 584.51
558 50 16.393 0.075 13.653 863.61
558 100 16.025 0.038 11.230 359.15
559 1 0.797 0.119 0.023 3.69
559 3 2.494 0.055 0.629 21.39
559 5 5.805 0.067 0.304 4.71
559 10 10.854 0.129 4.058 24.47
559 30 20.440 0.879 59.709 888.20
559 50 20.644 0.798 77.544 1385.99
559 100 20.685 0.518 84.774 920.06
560 1 0.123 0.035 0.031 7.21
560 3 2.841 0.059 0.128 6.90
560 5 5.846 0.089 0.332 7.96
560 10 8.544 0.086 3.560 74.84
560 30 17.231 0.165 9.629 133.77
560 50 16.454 0.098 6.408 49.38
560 100 33.215 0.030 5.598 2.82
561 1 0.777 0.136 0.021 4.14
561 3 nan -inf nan nan
561 5 3.618 0.050 1.043 67.23
561 10 11.508 0.051 19.660 125.01
561 30 33.501 0.230 50.433 465.45
561 50 34.973 0.503 130.717 3189.77
561 100 35.197 0.366 243.049 913.52
562 1 0.818 0.129 0.022 3.74
562 3 2.412 0.048 0.117 8.07
562 5 nan -inf nan nan
562 10 13.920 0.079 0.650 7.20
562 30 14.144 0.098 6.654 96.28
562 50 13.000 0.046 2.489 7.01
562 100 77.733 0.121 38.470 58.97
563 1 0.123 0.047 0.025 4.09
563 3 1.553 0.880 9.405 11964.91
563 5 1.553 0.782 8.535 10929.62
563 10 1.553 0.414 7.110 4483.03
563 30 29.127 0.083 12.461 80.31
563 50 46.848 0.134 32.392 97.40
563 100 49.076 0.070 19.153 28.81
564 1 0.756 0.135 0.268 16.23
564 3 1.942 0.147 0.876 47.02
564 5 1.983 0.067 0.554 19.57
564 10 9.034 0.133 4.093 44.98
564 30 20.624 0.552 15.905 117.20
564 50 21.564 0.433 14.934 99.22
564 100 22.034 0.260 11.426 50.21
565 1 0.123 0.033 0.029 5.69
565 3 nan -inf nan nan
565 5 4.558 0.097 1.526 60.53
565 10 8.707 0.117 3.752 80.20
565 30 24.507 0.462 51.823 83.59
565 50 49.301 1.083 332.885 899.84
565 100 49.853 1.003 434.954 1484.57
566 1 0.818 0.118 0.025 3.48
566 3 2.432 0.085 0.160 7.98
566 5 4.068 0.110 1.419 70.34
566 10 8.462 0.152 3.297 79.84
566 30 12.509 0.100 3.774 5.49
566 50 39.939 0.310 23.025 121.14
566 100 80.860 0.351 66.548 78.32
567 1 0.879 0.157 -0.969 -1.39
567 3 2.432 0.143 1.013 41.52
567 5 5.764 0.217 0.416 3.38
567 10 7.542 0.187 3.525 52.58
567 30 15.085 0.079 4.391 0.81
567 50 29.249 0.527 42.222 204.81
567 100 29.883 0.181 8.322 6.58
568 1 0.695 0.130 0.022 4.60
568 3 nan -inf nan nan
568 5 5.805 0.042 0.251 6.18
568 10 11.099 0.083 3.505 58.45
568 30 16.127 0.146 10.851 83.11
568 50 47.890 0.235 31.210 59.22
568 100 47.952 0.202 26.295 58.97
569 1 0.736 0.152 0.209 18.16
569 3 2.616 0.177 0.892 42.66
569 5 4.211 0.158 1.345 73.76
569 10 7.481 0.133 2.537 188.81
569 30 nan -inf nan nan
569 50 56.455 0.309 47.621 154.69
569 100 61.606 0.448 38.967 33.30
570 1 0.123 0.035 0.028 5.80
570 3 2.718 0.110 0.689 28.29
570 5 4.456 0.093 1.727 42.83
570 10 9.034 0.099 3.153 31.46
570 30 31.825 0.587 29.830 46.08
570 50 32.990 0.689 59.678 334.56
570 100 32.315 0.416 58.014 69.08
571 1 0.756 0.131 0.022 4.08
571 3 nan -inf nan nan
571 5 nan -inf nan nan
571 10 10.567 0.080 4.681 119.63
571 30 49.505 0.319 14.668 9.65
571 50 44.886 0.825 118.141 1021.55
571 100 45.601 0.709 216.814 578.85
572 1 0.123 0.041 0.029 7.41
572 3 3.229 0.067 0.153 4.04
572 5 3.761 0.084 1.535 84.40
572 10 9.239 0.145 3.710 39.83
572 30 23.526 1.351 124.969 9118.12
572 50 23.628 1.240 94.950 6674.95
572 100 23.588 0.839 81.147 731.02
573 1 0.797 0.080 0.029 2.76
573 3 2.698 0.977 16.412 3485.89
573 5 2.739 1.067 18.197 8354.68
573 10 2.718 0.797 14.484 981.66
573 30 6.725 0.049 1.150 6.46
573 50 6.745 0.063 0.837 1.04
573 100 49.689 0.189 28.899 91.01
574 1 0.797 0.128 0.022 3.69
574 3 nan -inf nan nan
574 5 nan -inf nan nan
574 10 11.589 0.142 7.352 317.75
574 30 29.965 0.705 65.002 305.24
574 50 30.639 0.885 56.305 641.21
574 100 30.803 0.750 44.824 283.43
575 1 0.777 0.136 0.022 3.84
575 3 nan -inf nan nan
575 5 nan -inf nan nan
575 10 nan -inf nan nan
575 30 34.911 0.049 2.107 6.72
575 50 53.000 0.103 29.620 82.02
575 100 90.221 0.167 35.754 33.73
576 1 0.899 0.122 2.535 69.95
576 3 nan -inf nan nan
576 5 3.924 0.096 1.382 87.00
576 10 nan -inf nan nan
576 30 26.837 0.524 43.698 652.92
576 50 27.614 0.437 23.675 197.28
576 100 26.061 0.176 6.037 5.97
577 1 0.123 0.031 0.029 5.52
577 3 2.310 0.031 0.141 5.98
577 5 6.112 0.323 10.536 460.44
577 10 6.623 0.315 13.776 18.29
577 30 12.918 0.910 25.641 808.18
577 50 12.938 0.751 25.527 1045.34
577 100 13.225 0.241 22.925 253.33
578 1 0.879 0.075 0.022 2.09
578 3 2.841 0.064 0.134 6.42
578 5 4.047 0.071 1.571 63.25
578 10 8.830 0.068 -1.204 -0.00
578 30 20.869 0.114 8.791 13.07
578 50 37.895 0.420 45.802 235.26
578 100 38.856 0.250 28.103 46.26
579 1 0.613 0.287 0.277 97.24
579 3 0.838 0.122 0.248 15.05
579 5 3.638 0.221 1.688 47.88
579 10 7.910 0.201 3.630 71.11
579 30 24.160 0.549 40.484 213.33
579 50 48.034 0.718 98.661 98.51
579 100 48.299 0.478 93.761 134.57
580 1 0.123 0.037 0.030 7.35
580 3 2.637 0.055 -3.565 -0.68
580 5 nan -inf nan nan
580 10 7.992 0.052 2.848 62.10
580 30 20.583 0.259 38.751 21.22
580 50 39.858 0.938 130.865 644.28
580 100 40.246 0.743 117.461 621.21
581 1 0.123 0.036 0.031 7.43
581 3 3.311 0.057 0.118 5.62
581 5 3.413 0.053 1.294 78.12
581 10 6.684 0.090 3.482 176.36
581 30 28.146 0.093 1.764 15.87
581 50 29.822 0.056 10.869 81.10
581 100 76.118 0.070 49.025 286.47
582 1 0.736 0.092 0.031 1.97
582 3 2.044 0.067 0.107 6.95
582 5 3.700 0.054 0.226 10.86
582 10 10.302 0.048 2.402 18.03
582 30 21.911 0.534 130.583 152.59
582 50 43.905 1.102 216.871 444.91
582 100 44.170 0.998 175.530 1148.23
583 1 0.123 0.034 0.028 5.34
583 3 2.391 0.113 0.799 48.97
583 5 4.701 0.122 1.413 37.16
583 10 8.299 0.155 3.564 30.69
583 30 20.603 0.940 32.525 747.53
583 50 20.869 0.612 24.668 130.87
583 100 19.091 0.262 37.806 18.44
584 1 0.756 0.138 0.021 4.13
584 3 nan -inf nan nan
584 5 nan -inf nan nan
584 10 nan -inf nan nan
584 30 19.745 0.061 11.505 380.06
584 50 20.828 0.044 7.744 72.50
584 100 62.014 0.059 23.179 18.27
585 1 0.123 0.039 0.028 5.96
585 3 2.800 0.093 0.637 23.02
585 5 7.665 0.185 0.460 3.79
585 10 7.992 0.416 8.100 46.73
585 30 15.657 0.682 15.838 142.01
585 50 15.780 0.508 13.268 106.37
585 100 16.168 0.209 5.121 15.90
586 1 0.675 0.129 0.023 4.65
586 3 nan -inf nan nan
586 5 4.579 0.071 1.402 56.93
586 10 11.160 0.108 3.912 26.38
586 30 33.480 0.347 17.690 30.90
586 50 38.570 0.393 19.971 35.63
586 100 54.840 0.290 109.676 31.18
587 1 0.634 0.131 0.022 5.13
587 3 2.575 0.046 -2.299 -0.30
587 5 6.050 0.082 0.313 7.65
587 10 6.295 0.121 3.529 428.94
587 30 16.638 0.337 47.010 1354.38
587 50 16.720 0.280 38.657 765.84
587 100 16.638 0.169 50.601 458.57
588 1 nan -inf nan nan
588 3 nan -inf nan nan
588 5 nan -inf nan nan
588 10 12.100 0.113 1.073 8.96
588 30 12.121 0.175 18.992 715.25
588 50 11.814 0.130 18.894 435.87
588 100 78.755 0.096 78.999 656.54
589 1 0.695 0.081 0.022 2.80
589 3 2.412 0.049 0.116 8.24
589 5 nan -inf nan nan
589 10 8.932 0.110 4.155 279.31
589 30 28.432 0.155 11.367 23.53
589 50 43.475 0.261 20.251 29.40
589 100 66.429 0.204 24.944 22.13
590 1 0.123 0.038 0.030 7.67
590 3 2.575 0.088 1.043 58.96
590 5 6.684 0.120 1.089 6.20
590 10 9.402 0.291 7.626 6.63
590 30 18.232 1.408 79.729 3855.57
590 50 18.253 1.238 66.596 1231.23
590 100 18.273 0.734 43.698 235.56
591 1 0.797 0.073 0.023 2.10
591 3 3.005 0.039 0.113 3.99
591 5 5.641 0.062 0.238 8.57
591 10 9.218 0.096 -1.143 -0.00
591 30 16.168 0.147 10.312 308.66
591 50 16.311 0.089 6.709 54.76
591 100 15.085 0.046 -5.337 -0.00
592 1 0.634 0.076 0.053 1.55
592 3 nan -inf nan nan
592 5 nan -inf nan nan
592 10 8.810 0.081 -1.778 -0.00
592 30 25.856 0.153 11.870 56.03
592 50 55.474 0.346 38.168 49.81
592 100 68.637 0.606 58.955 308.61
593 1 0.654 0.145 0.039 4.61
593 3 2.412 0.121 0.760 24.46
593 5 3.577 0.109 1.391 62.88
593 10 8.748 0.139 3.834 43.61
593 30 18.907 0.476 18.243 132.17
593 50 18.621 0.142 5.612 2.61
593 100 55.188 0.369 33.288 68.85
594 1 0.675 0.081 0.025 2.66
594 3 nan -inf nan nan
594 5 5.233 0.120 2.462 74.07
594 10 6.275 0.062 1.953 1.30
594 30 13.409 0.782 13.209 125.65
594 50 13.715 0.680 13.590 127.16
594 100 14.390 0.301 17.973 330.03
595 1 0.123 0.030 0.028 4.70
595 3 2.596 0.056 0.120 6.70
595 5 4.987 0.054 0.290 6.71
595 10 9.361 0.182 10.029 161.45
595 30 19.847 0.905 48.327 1790.50
595 50 19.970 0.813 46.468 3257.08
595 100 20.011 0.536 47.647 1029.92
596 1 0.123 0.036 0.031 7.58
596 3 nan -inf nan nan
596 5 4.068 0.058 1.271 76.67
596 10 15.350 0.232 9.494 56.81
596 30 16.515 1.082 52.137 4305.87
596 50 16.577 0.943 39.268 842.48
596 100 16.699 0.551 30.793 224.53
597 1 0.675 0.072 0.183 5.95
597 3 2.514 0.180 1.758 16.03
597 5 5.437 0.968 13.749 937.34
597 10 5.662 1.092 7.487 265.64
597 30 5.805 0.658 6.396 211.88
597 50 6.193 0.178 10.099 343.32
597 100 9.034 0.108 15.262 68.92
598 1 0.756 0.085 0.022 2.79
598 3 nan -inf nan nan
598 5 5.069 0.144 2.126 125.50
598 10 14.839 0.485 18.319 73.42
598 30 16.331 0.779 13.310 59.98
598 50 16.597 0.595 11.674 53.19
598 100 17.251 0.287 9.742 40.90
599 1 0.123 0.033 0.030 6.57
599 3 4.108 0.049 0.329 4.67
599 5 4.251 0.125 1.654 88.19
599 10 11.773 0.614 16.739 369.66
599 30 13.306 0.686 11.450 256.14
599 50 13.347 0.493 10.129 83.19
599 100 14.022 0.150 3.413 19.65
600 1 0.858 0.089 0.026 2.83
600 3 2.187 0.110 0.938 70.20
600 5 4.579 0.229 2.228 35.49
600 10 6.479 0.257 3.040 31.46
600 30 17.333 0.855 32.601 1369.65
600 50 17.394 0.704 28.884 1313.23
600 100 17.435 0.364 24.169 224.26
601 1 0.123 0.035 0.031 7.49
601 3 nan -inf nan nan
601 5 nan -inf nan nan
601 10 10.915 0.109 7.551 202.16
601 30 12.284 0.211 16.743 248.97
601 50 11.957 0.145 24.362 166.56
601 100 73.481 0.175 88.991 294.24
602 1 0.756 0.116 0.023 4.13
602 3 2.657 0.077 0.698 38.78
602 5 7.522 0.328 7.388 106.74
602 10 7.890 0.839 32.805 297.17
602 30 16.004 1.113 38.730 668.94
602 50 16.066 0.971 36.370 1316.03
602 100 16.352 0.516 72.390 643.03
603 1 0.736 0.087 2.146 54.36
603 3 nan -inf nan nan
603 5 nan -inf nan nan
603 10 8.769 0.063 -2.252 -0.00
603 30 21.768 0.142 11.190 133.19
603 50 22.606 0.092 9.294 95.96
603 100 22.382 0.049 41.132 42.65
604 1 0.818 0.071 0.022 2.27
604 3 2.555 0.101 0.976 13.22
604 5 5.948 0.703 8.800 111.46
604 10 6.520 0.280 20.158 9.94
604 30 12.959 1.254 113.032 4568.83
604 50 12.979 1.057 141.175 11249.26
604 100 13.184 0.370 170.855 3486.08
605 1 nan -inf nan nan
605 3 nan -inf nan nan
605 5 4.517 0.106 1.822 91.49
605 10 12.570 0.094 0.867 3.31
605 30 18.191 0.401 16.246 308.11
605 50 17.905 0.166 6.108 7.49
605 100 57.947 0.210 25.864 21.64
606 1 0.593 0.128 0.048 7.18
606 3 nan -inf nan nan
606 5 4.068 0.042 0.252 14.02
606 10 nan -inf nan nan
606 30 27.676 0.262 35.785 871.93
606 50 29.474 0.289 21.239 190.91
606 100 28.534 0.190 13.664 43.23
607 1 0.613 0.142 0.022 5.49
607 3 nan -inf nan nan
607 5 nan -inf nan nan
607 10 10.281 0.052 0.641 15.60
607 30 22.075 0.070 9.198 175.91
607 50 42.474 0.246 64.851 512.64
607 100 47.298 0.133 19.818 20.23
608 1 0.675 0.122 0.039 2.53
608 3 2.841 0.074 0.996 50.34
608 5 5.682 0.170 1.866 54.38
608 10 11.814 0.264 3.319 14.92
608 30 12.080 0.080 2.626 1.57
608 50 39.469 0.577 39.160 267.45
608 100 41.677 0.329 29.790 44.74
609 1 0.777 0.126 0.022 4.02
609 3 2.678 0.771 14.729 9365.96
609 5 2.698 0.865 14.367 13503.71
609 10 2.678 0.583 12.120 794.84
609 30 38.325 0.243 22.291 48.64
609 50 39.571 0.464 39.305 316.78
609 100 41.145 0.164 14.703 5.62
610 1 0.123 0.029 0.028 4.68
610 3 2.616 0.088 0.155 7.46
610 5 4.906 0.108 1.271 27.29
610 10 7.583 0.166 3.230 152.77
610 30 38.549 0.291 15.390 19.52
610 50 42.985 0.597 60.129 539.28
610 100 46.582 0.304 24.109 23.51
611 1 0.572 0.128 0.069 4.50
611 3 nan -inf nan nan
611 5 nan -inf nan nan
611 10 11.283 0.095 4.554 114.41
611 30 19.459 0.231 11.292 188.95
611 50 17.353 0.031 3.717 0.64
611 100 63.323 0.318 49.801 45.99
612 1 0.123 0.037 0.030 7.42
612 3 nan -inf nan nan
612 5 4.251 0.041 0.296 11.88
612 10 13.449 0.310 25.159 490.65
612 30 13.613 0.871 47.569 14308.40
612 50 13.592 0.725 38.644 2058.39
612 100 13.613 0.277 33.428 479.43
613 1 0.123 0.039 0.031 8.26
613 3 nan -inf nan nan
613 5 7.951 0.065 0.289 5.65
613 10 15.146 0.332 15.430 82.95
613 30 16.045 0.292 32.428 10.37
613 50 32.867 1.036 70.519 128.38
613 100 33.337 0.871 121.040 296.93
614 1 0.756 0.128 0.033 3.77
614 3 2.698 0.181 0.942 34.57
614 5 4.435 0.221 1.699 46.94
614 10 nan -inf nan nan
614 30 17.701 0.591 21.185 279.37
614 50 18.089 0.195 6.315 6.46
614 100 72.193 0.207 29.598 31.77
615 1 0.123 0.030 0.028 4.68
615 3 2.698 0.111 1.179 60.02
615 5 5.478 0.155 1.679 17.80
615 10 6.132 0.074 1.809 4.18
615 30 17.353 0.820 32.607 817.83
615 50 17.333 0.618 46.330 358.17
615 100 16.699 0.285 2.655 3.15
616 1 0.838 0.092 0.159 5.44
616 3 2.780 0.198 0.888 24.51
616 5 4.170 0.212 1.559 46.84
616 10 8.769 0.150 3.512 33.74
616 30 28.207 0.430 40.943 85.33
616 50 28.922 0.368 33.872 105.41
616 100 58.008 0.190 17.342 7.81
617 1 0.777 0.124 0.043 4.04
617 3 2.657 0.055 0.123 7.19
617 5 4.435 0.057 0.295 13.02
617 10 13.388 0.099 0.817 7.44
617 30 14.124 0.233 29.467 282.48
617 50 13.654 0.173 24.435 116.49
617 100 42.208 0.059 6.216 2.36
618 1 0.123 0.047 0.031 10.82
618 3 2.739 0.081 0.725 39.38
618 5 7.481 0.128 0.624 7.12
618 10 10.056 0.349 5.285 272.33
618 30 34.911 0.885 65.762 202.30
618 50 36.751 1.168 102.032 2323.53
618 100 37.139 0.860 64.043 321.23
619 1 0.613 0.139 0.022 5.35
619 3 nan -inf nan nan
619 5 nan -inf nan nan
619 10 7.154 0.092 3.193 266.88
619 30 14.308 0.092 7.200 296.59
619 50 13.633 0.060 4.500 36.37
619 100 70.885 0.043 16.593 25.55
620 1 0.777 0.078 0.022 2.44
620 3 nan -inf nan nan
620 5 4.681 0.080 2.659 109.51
620 10 5.498 0.116 3.409 622.65
620 30 22.525 0.119 11.385 168.96
620 50 45.233 0.118 14.692 28.49
620 100 57.293 0.087 20.601 9.72
621 1 0.838 0.125 0.050 4.42
621 3 nan -inf nan nan
621 5 5.028 0.057 1.473 29.69
621 10 9.586 0.077 0.812 9.46
621 30 30.496 0.163 23.771 184.00
621 50 31.763 0.294 38.878 541.70
621 100 32.152 0.259 43.768 412.72
622 1 0.123 0.043 0.031 9.11
622 3 nan -inf nan nan
622 5 7.338 0.121 3.059 41.00
622 10 7.788 0.538 9.562 1031.56
622 30 8.053 0.256 4.835 35.78
622 50 7.828 0.116 1.387 4.38
622 100 60.543 0.254 42.014 104.48
623 1 0.695 0.076 0.030 2.75
623 3 2.718 0.146 0.902 36.31
623 5 4.579 0.201 1.796 77.18
623 10 8.810 0.156 9.568 14.46
623 30 29.658 1.219 61.355 934.68
623 50 31.232 1.105 40.870 336.22
623 100 31.743 0.736 29.326 48.83
624 1 0.695 0.128 0.022 4.50
624 3 4.108 0.045 0.119 4.64
624 5 4.088 0.041 1.158 16.68
624 10 10.527 0.923 27.317 2181.29
624 30 10.915 0.953 26.785 3157.69
624 50 10.874 0.676 35.285 939.33
624 100 43.659 0.027 7.675 1.18
625 1 0.920 0.124 0.039 3.74
625 3 2.351 0.474 1.990 383.74
625 5 2.616 0.279 1.370 61.15
625 10 2.596 0.097 0.818 8.90
625 30 10.056 0.053 1.796 6.97
625 50 43.312 0.375 73.905 650.96
625 100 47.461 0.263 94.919 60.71
626 1 0.123 0.032 0.028 5.16
626 3 2.780 0.077 0.913 30.21
626 5 6.009 0.420 3.069 70.59
626 10 13.920 1.223 303.318 1083.10
626 30 13.838 1.504 172.890 32767.90
626 50 13.838 1.303 144.863 24747.84
626 100 13.899 0.551 93.091 2769.82
627 1 0.654 0.134 0.022 4.85
627 3 nan -inf nan nan
627 5 nan -inf nan nan
627 10 9.872 0.058 3.514 105.32
627 30 31.314 0.131 13.679 34.96
627 50 34.952 0.282 70.660 739.73
627 100 34.850 0.216 87.903 546.93
628 1 0.756 0.087 0.032 2.48
628 3 1.553 0.370 1.079 120.02
628 5 1.574 0.311 1.015 163.33
628 10 1.615 0.173 0.831 128.14
628 30 22.933 0.084 11.165 102.68
628 50 46.214 0.106 4.103 10.40
628 100 47.236 0.062 14.005 54.84
