star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
51 3.270 0.491 1.48e+00 0.011 2.943 0.060 6.12e-01 0.475 6.234 0.048 1.05e+00 0.229 9.116 0.196 1.33e+00 0.207 54.840 0.450 2.78e+01 0.019 
52 4.354 0.222 2.21e-01 0.032 8.155 0.264 6.15e-01 0.035 22.974 0.508 1.10e+01 0.019 46.521 1.063 5.26e+01 0.015 47.870 0.848 5.69e+01 0.007 
53 3.148 0.223 1.12e+00 0.019 3.638 0.091 8.45e-01 0.198 nan -inf nan nan nan -inf nan nan 55.147 0.681 4.14e+01 0.011 
54 nan -inf nan nan 6.766 0.093 1.06e+00 0.088 13.613 0.086 1.70e+00 0.093 19.132 0.024 2.67e+00 0.674 26.490 0.050 3.95e+00 0.469 
55 nan -inf nan nan 7.542 0.087 6.49e-01 0.050 20.889 1.211 3.22e+01 0.004 20.889 0.776 2.76e+01 0.023 20.051 0.497 1.51e+01 0.068 
56 3.086 0.171 4.41e-01 0.053 3.066 0.071 4.05e-01 0.130 nan -inf nan nan 38.877 0.935 3.56e+01 0.009 37.793 0.714 4.90e+01 0.025 
57 3.454 0.088 1.89e-01 0.053 6.336 0.057 3.95e-01 0.123 24.426 0.990 2.45e+01 0.006 25.059 0.712 2.20e+01 0.003 25.059 0.514 1.54e+01 0.013 
58 0.572 0.084 1.36e-01 0.111 0.552 0.230 5.52e-01 0.138 16.372 1.244 3.46e+01 0.003 16.311 1.179 4.26e+01 0.005 16.250 1.095 5.06e+01 0.010 
59 4.149 0.300 9.03e-01 0.043 nan -inf nan nan nan -inf nan nan 42.597 0.795 3.10e+01 0.007 51.447 0.576 3.51e+01 0.006 
60 0.552 0.069 1.24e-01 0.159 6.623 0.037 4.67e-01 0.347 15.923 1.137 2.83e+01 0.003 15.923 1.041 3.39e+01 0.006 15.902 0.936 3.62e+01 0.015 
61 0.552 0.083 1.18e-01 0.142 4.251 0.022 3.71e-01 0.347 24.364 0.857 2.03e+01 0.004 28.636 0.647 2.27e+01 0.006 27.410 0.521 2.81e+01 0.034 
62 3.536 0.299 3.48e-01 0.035 4.558 0.031 7.65e-01 0.194 23.301 0.707 1.43e+01 0.013 24.303 0.477 1.39e+01 0.006 23.261 0.268 5.09e+00 0.062 
63 nan -inf nan nan nan -inf nan nan nan -inf nan nan 42.433 0.307 1.10e+01 0.012 91.938 0.401 2.53e+01 0.029 
64 0.572 0.115 1.25e-01 0.104 0.552 0.258 5.52e-01 0.126 14.778 0.863 1.63e+01 0.008 14.758 0.807 1.73e+01 0.008 14.349 0.697 1.27e+01 0.017 
65 3.924 0.358 1.28e+00 0.026 nan -inf nan nan 14.982 0.232 9.93e+00 0.131 13.041 0.109 2.75e+00 0.280 27.655 0.194 4.68e+00 0.253 
66 4.558 0.246 2.40e-01 0.036 8.953 0.292 7.51e-01 0.039 nan -inf nan nan 36.158 1.236 5.50e+01 0.002 36.158 0.851 5.20e+01 0.011 
67 1.226 0.202 3.49e-01 0.019 1.206 0.208 2.52e-01 0.018 1.206 0.191 2.04e-01 0.031 1.226 0.184 1.98e-01 0.026 1.226 0.168 1.89e-01 0.031 
68 2.821 0.153 7.57e-01 0.037 nan -inf nan nan 18.825 0.934 2.07e+01 0.012 18.825 0.854 2.54e+01 0.014 18.764 0.663 2.52e+01 0.032 
69 3.843 0.123 2.78e-01 0.057 6.071 0.083 4.35e-01 0.056 nan -inf nan nan 32.765 1.214 5.60e+01 0.007 32.724 0.870 5.77e+01 0.019 
70 2.943 0.041 3.60e-01 0.194 6.827 0.757 4.71e+00 0.012 6.847 0.390 3.21e+00 0.014 6.766 0.321 1.54e+00 0.078 6.398 0.292 1.14e+00 0.091 
71 4.251 0.322 8.99e-01 0.042 nan -inf nan nan 20.889 1.070 2.42e+01 0.002 20.889 0.653 1.90e+01 0.012 20.338 0.460 1.09e+01 0.025 
72 4.456 0.276 3.52e-01 0.040 nan -inf nan nan 14.022 0.244 6.30e+00 0.029 13.081 0.097 4.13e+00 0.205 12.591 0.070 7.54e+00 0.238 
73 4.456 0.448 1.30e+00 0.046 8.585 0.457 1.08e+00 0.040 8.544 0.105 1.70e+00 0.071 12.877 0.055 1.88e+00 0.154 30.190 0.033 4.22e+00 0.745 
74 nan -inf nan nan nan -inf nan nan 12.325 0.504 8.01e+00 0.010 11.773 0.333 4.91e+00 0.029 11.589 0.263 2.36e+00 0.059 
75 0.552 0.118 1.22e-01 0.102 0.552 0.177 5.52e-01 0.104 25.223 0.409 1.51e+00 0.047 26.388 0.406 1.05e+01 0.035 26.388 0.284 5.90e+00 0.032 
76 4.088 0.220 2.15e-01 0.032 7.481 0.227 5.73e-01 0.033 20.869 1.173 2.93e+01 0.008 21.237 1.096 3.85e+01 0.006 20.889 1.002 3.69e+01 0.021 
77 nan -inf nan nan 7.910 0.584 4.09e+00 0.012 20.849 0.535 4.95e+00 0.038 7.869 0.027 1.77e+00 0.641 20.849 0.321 3.47e+00 0.015 
78 1.104 0.059 2.25e-01 0.078 nan -inf nan nan 19.091 0.444 9.59e+00 0.016 19.050 0.352 8.34e+00 0.013 19.009 0.279 5.92e+00 0.022 
79 0.531 0.098 1.03e-01 0.157 8.012 0.220 5.90e-01 0.042 17.456 0.704 1.50e+01 0.005 17.394 0.652 1.49e+01 0.004 17.394 0.629 1.63e+01 0.014 
80 0.531 0.134 9.99e-02 0.139 7.195 0.106 8.21e-01 0.062 nan -inf nan nan 31.907 1.001 3.64e+01 0.010 31.825 0.790 4.00e+01 0.016 
81 0.613 0.089 1.84e-01 0.075 0.613 0.102 1.57e-01 0.035 0.613 0.157 1.27e-01 0.019 0.613 0.169 1.13e-01 0.036 0.613 0.403 9.40e-02 0.079 
82 3.557 0.385 1.26e+00 0.017 8.012 0.398 2.69e+00 0.022 nan -inf nan nan 32.806 1.067 3.68e+01 0.003 32.969 0.491 2.08e+01 0.031 
83 4.251 0.266 9.28e-01 0.032 nan -inf nan nan 13.531 1.184 2.94e+01 0.004 13.409 0.936 2.23e+01 0.015 13.225 0.667 1.12e+01 0.039 
84 4.313 0.219 2.41e-01 0.036 nan -inf nan nan 25.366 1.086 3.07e+01 0.011 25.509 1.070 3.70e+01 0.007 25.509 1.019 3.80e+01 0.006 
85 0.552 0.120 1.05e-01 0.139 nan -inf nan nan 20.154 1.217 3.22e+01 0.008 20.154 1.051 4.17e+01 0.013 20.154 0.971 6.85e+01 0.021 
86 0.593 0.084 1.43e-01 0.114 0.572 0.180 5.72e-01 0.121 21.155 0.668 1.27e+01 0.009 22.382 0.307 1.03e+01 0.015 18.866 0.141 6.85e+00 0.171 
87 3.986 0.301 9.81e-01 0.039 5.968 0.309 1.85e+00 0.015 6.888 0.141 1.35e+00 0.146 38.406 0.402 9.86e+00 0.027 nan -inf nan nan 
88 nan -inf nan nan nan -inf nan nan nan -inf nan nan 30.925 1.241 5.75e+01 0.005 31.028 1.050 5.45e+01 0.007 
89 nan -inf nan nan nan -inf nan nan 27.328 1.482 6.57e+01 0.005 27.471 1.477 8.56e+01 0.002 27.573 1.403 1.05e+02 0.003 
90 0.552 0.118 1.05e-01 0.147 nan -inf nan nan 21.891 0.857 1.82e+01 0.008 23.955 0.775 1.48e+01 0.013 23.853 0.483 1.25e+01 0.014 
91 4.006 0.353 1.16e+00 0.029 nan -inf nan nan 23.853 0.553 1.25e+01 0.005 43.884 0.925 3.64e+01 0.019 44.538 0.775 4.48e+01 0.009 
92 4.435 0.273 2.63e-01 0.035 7.563 0.115 6.40e-01 0.071 11.467 0.077 1.85e+00 0.260 42.413 0.862 3.39e+01 0.012 45.254 0.658 3.70e+01 0.007 
