star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
299 nan -inf nan nan 6.561 0.263 2.80e+00 0.023 12.203 0.218 7.15e+00 0.071 11.814 0.146 2.58e+00 0.103 49.526 0.137 8.11e+00 0.385 
300 nan -inf nan nan nan -inf nan nan 25.509 1.373 5.37e+01 0.006 25.754 1.341 6.57e+01 0.004 25.611 1.255 7.43e+01 0.007 
301 0.552 0.098 1.16e-01 0.135 nan -inf nan nan 10.588 0.625 9.02e+00 0.026 10.567 0.621 9.87e+00 0.025 10.567 0.609 9.31e+00 0.018 
302 4.292 0.417 1.43e+00 0.032 nan -inf nan nan nan -inf nan nan 32.949 1.186 4.85e+01 0.004 32.929 0.655 3.85e+01 0.028 
303 3.781 0.427 1.42e+00 0.018 7.951 0.448 3.30e+00 0.018 14.921 0.835 1.57e+01 0.007 14.921 0.786 1.79e+01 0.009 14.921 0.699 1.58e+01 0.014 
304 0.593 0.088 3.45e-01 0.138 0.552 0.193 5.52e-01 0.115 14.185 0.883 1.83e+01 0.022 14.185 0.834 2.36e+01 0.026 14.185 0.767 2.71e+01 0.027 
305 nan -inf nan nan 7.869 0.340 2.10e+00 0.034 nan -inf nan nan 32.418 0.667 1.97e+01 0.012 32.050 0.243 9.72e+00 0.059 
306 2.085 0.287 5.80e-01 0.037 2.044 0.210 3.36e-01 0.037 8.360 0.096 1.13e+00 0.221 8.319 0.075 1.11e+00 0.194 8.319 0.060 1.08e+00 0.342 
307 4.292 0.335 1.06e+00 0.040 nan -inf nan nan 23.322 0.578 1.18e+01 0.012 25.018 0.281 1.11e+01 0.012 22.341 0.106 5.04e+00 0.138 
308 0.552 0.113 1.14e-01 0.122 nan -inf nan nan 18.580 0.583 1.17e+01 0.016 18.641 0.484 1.10e+01 0.011 18.621 0.451 8.06e+00 0.017 
309 0.552 0.108 1.11e-01 0.133 7.972 0.167 4.51e-01 0.033 20.808 0.175 8.13e+00 0.156 38.917 1.206 5.70e+01 0.008 39.449 1.037 5.94e+01 0.005 
310 0.552 0.114 1.06e-01 0.141 8.769 0.157 1.98e+00 0.081 nan -inf nan nan 42.821 1.307 6.79e+01 0.003 42.964 1.193 7.75e+01 0.002 
311 0.552 0.088 1.19e-01 0.138 0.531 0.181 5.31e-01 0.122 23.199 0.191 6.47e+00 0.054 44.170 0.627 2.02e+01 0.032 45.519 0.554 3.04e+01 0.017 
312 nan -inf nan nan nan -inf nan nan 18.518 0.828 1.83e+01 0.005 18.232 0.612 1.50e+01 0.011 17.905 0.459 7.61e+00 0.029 
313 0.552 0.083 1.26e-01 0.132 0.552 0.145 5.52e-01 0.121 19.970 0.505 7.58e+00 0.032 20.011 0.340 7.42e+00 0.026 19.724 0.292 4.75e+00 0.016 
314 0.531 0.110 1.05e-01 0.134 8.953 0.223 4.58e-01 0.034 nan -inf nan nan 36.771 0.935 3.34e+01 0.003 41.125 0.303 1.95e+01 0.037 
315 0.552 0.099 1.07e-01 0.151 8.666 0.472 3.58e+00 0.024 17.599 0.640 9.94e+00 0.009 17.742 0.364 8.22e+00 0.018 17.047 0.316 5.07e+00 0.051 
316 2.494 0.246 7.17e-01 0.026 2.208 0.140 3.54e-01 0.118 10.465 0.131 2.45e+00 0.043 10.445 0.119 2.08e+00 0.027 9.770 0.118 1.64e+00 0.021 
317 nan -inf nan nan 6.950 0.464 3.45e+00 0.036 16.107 1.113 2.43e+01 0.003 16.107 1.053 2.25e+01 0.004 15.943 0.926 1.79e+01 0.011 
318 0.593 0.114 1.52e-01 0.078 0.572 0.137 5.72e-01 0.112 22.095 0.103 1.61e+00 0.089 36.138 0.306 9.54e+00 0.048 36.117 0.194 7.48e+00 0.042 
319 nan -inf nan nan nan -inf nan nan nan -inf nan nan 38.774 1.394 7.68e+01 0.001 39.122 1.070 7.44e+01 0.006 
320 4.108 1.365 8.15e+00 0.002 4.251 1.074 5.80e+00 0.004 4.190 0.918 3.99e+00 0.009 4.190 0.811 3.48e+00 0.010 4.190 0.564 1.50e+00 0.052 
321 nan -inf nan nan nan -inf nan nan 19.316 0.861 1.51e+01 0.007 20.378 0.443 1.29e+01 0.009 19.357 0.342 6.99e+00 0.049 
322 1.513 1.496 5.06e+00 0.001 1.513 1.449 3.98e+00 0.002 1.513 1.235 3.20e+00 0.005 1.513 1.067 2.77e+00 0.010 1.513 0.868 2.17e+00 0.014 
323 1.431 0.127 4.21e-01 0.074 nan -inf nan nan 12.305 0.607 1.04e+01 0.015 12.039 0.383 4.12e+00 0.062 10.465 0.428 1.54e+00 0.161 
324 0.552 0.086 1.17e-01 0.136 7.113 0.024 7.96e-01 1.176 15.514 1.367 4.49e+01 0.003 15.473 1.195 4.73e+01 0.008 15.166 1.014 4.53e+01 0.015 
325 nan -inf nan nan 8.953 0.529 4.10e+00 0.012 22.075 0.998 2.23e+01 0.007 22.525 0.745 2.03e+01 0.006 22.055 0.585 1.39e+01 0.014 
326 4.231 0.388 1.32e+00 0.032 6.704 0.165 2.18e+00 0.037 18.232 0.152 5.17e+00 0.070 42.576 0.367 1.17e+01 0.032 nan -inf nan nan 
327 nan -inf nan nan 8.483 0.321 1.64e+00 0.041 26.122 0.722 1.51e+01 0.026 26.204 0.671 2.09e+01 0.013 25.836 0.398 9.36e+00 0.056 
328 2.637 0.038 5.84e-01 0.562 nan -inf nan nan 18.396 0.664 1.37e+01 0.007 18.498 0.551 1.20e+01 0.004 17.905 0.418 7.81e+00 0.019 
329 1.431 0.170 3.73e-01 0.040 1.247 0.149 2.05e-01 0.097 22.729 1.327 4.08e+01 0.005 22.750 1.259 5.71e+01 0.004 22.688 1.130 6.35e+01 0.013 
330 2.984 0.197 8.99e-01 0.027 9.218 0.421 2.70e+00 0.041 18.559 1.026 2.21e+01 0.009 18.559 0.933 2.39e+01 0.007 18.518 0.858 2.00e+01 0.007 
331 3.863 0.351 1.21e+00 0.027 nan -inf nan nan nan -inf nan nan 42.964 0.975 4.29e+01 0.006 44.968 0.762 4.42e+01 0.010 
332 2.862 0.332 9.71e-01 0.035 2.821 0.205 6.18e-01 0.031 8.605 0.084 1.03e+00 0.263 22.831 0.036 3.92e+00 3.667 54.145 0.447 2.93e+01 0.064 
333 0.552 0.098 1.16e-01 0.131 3.904 0.028 4.61e-01 0.561 26.347 1.601 8.89e+01 0.002 26.347 1.569 1.15e+02 0.002 26.367 1.484 1.61e+02 0.003 
334 0.511 0.133 9.33e-02 0.119 nan -inf nan nan 10.527 0.516 6.86e+00 0.012 10.363 0.397 4.19e+00 0.040 10.036 0.306 1.92e+00 0.064 
335 0.572 0.089 1.25e-01 0.131 4.456 0.030 5.08e-01 0.527 26.797 0.832 1.55e+01 0.031 26.837 0.627 1.77e+01 0.011 26.797 0.385 1.00e+01 0.024 
336 4.006 0.360 1.32e+00 0.019 nan -inf nan nan 10.097 0.915 1.47e+01 0.008 9.995 0.741 1.10e+01 0.019 9.750 0.546 2.26e+00 0.064 
337 nan -inf nan nan nan -inf nan nan 13.858 0.923 1.60e+01 0.002 13.736 0.814 1.42e+01 0.003 13.552 0.637 9.40e+00 0.023 
338 nan -inf nan nan nan -inf nan nan 11.937 0.930 1.95e+01 0.014 11.773 0.758 1.55e+01 0.024 11.651 0.664 1.17e+01 0.020 
339 4.108 0.284 2.96e-01 0.039 nan -inf nan nan 24.834 0.160 6.28e+00 0.058 37.323 0.483 1.61e+01 0.021 39.776 0.175 1.86e+01 0.100 
340 0.613 0.091 1.56e-01 0.095 0.593 0.154 1.16e-01 0.056 23.772 0.543 1.16e+01 0.012 nan -inf nan nan 49.853 0.671 3.61e+01 0.014 
341 0.572 0.087 1.18e-01 0.162 nan -inf nan nan 20.072 0.372 7.10e+00 0.015 nan -inf nan nan 36.015 0.037 5.90e+00 1.006 
342 0.613 0.095 1.59e-01 0.092 0.593 0.141 1.22e-01 0.047 9.341 0.040 4.86e-01 0.114 9.321 0.038 6.23e-01 0.100 14.594 0.024 9.04e-01 0.088 
343 nan -inf nan nan 8.401 0.446 3.28e+00 0.017 nan -inf nan nan 29.924 0.962 3.84e+01 0.003 29.556 0.717 3.11e+01 0.016 
344 4.292 0.226 2.63e-01 0.030 nan -inf nan nan 11.017 0.756 1.49e+01 0.019 10.751 0.573 9.79e+00 0.050 10.322 0.387 1.74e+00 0.087 
345 1.124 0.145 1.77e-01 0.250 nan -inf nan nan 17.496 0.828 1.79e+01 0.004 17.517 0.721 1.61e+01 0.004 17.231 0.580 1.08e+01 0.016 
346 4.149 0.403 1.57e+00 0.021 nan -inf nan nan 10.240 0.506 6.49e+00 0.012 10.179 0.451 5.61e+00 0.017 10.159 0.387 3.93e+00 0.022 
347 1.901 0.095 5.28e-01 0.224 nan -inf nan nan 11.937 0.360 5.90e+00 0.031 11.569 0.239 2.78e+00 0.088 83.619 0.424 2.09e+01 0.031 
348 0.572 0.064 1.34e-01 0.168 0.552 0.120 5.52e-01 0.141 nan -inf nan nan 40.246 1.518 1.13e+02 0.002 40.185 1.412 1.16e+02 0.005 
349 4.354 0.355 1.16e+00 0.041 8.094 0.394 2.80e+00 0.023 nan -inf nan nan 33.256 0.999 3.52e+01 0.003 32.826 0.396 1.78e+01 0.053 
350 4.395 0.226 2.76e-01 0.035 nan -inf nan nan 15.391 0.624 1.22e+01 0.009 15.473 0.506 9.98e+00 0.009 15.166 0.413 7.82e+00 0.017 
351 0.552 0.118 1.13e-01 0.113 nan -inf nan nan 20.992 0.633 1.26e+01 0.014 37.998 0.842 2.18e+01 0.029 38.509 0.537 1.72e+01 0.020 
352 nan -inf nan nan 6.827 0.151 2.02e+00 0.039 nan -inf nan nan 37.589 1.267 6.22e+01 0.003 38.468 1.047 6.26e+01 0.007 
353 4.681 0.265 2.25e-01 0.031 7.522 0.106 6.84e-01 0.051 nan -inf nan nan 31.028 1.420 8.81e+01 0.001 30.353 1.279 7.55e+01 0.005 
354 nan -inf nan nan nan -inf nan nan 25.509 0.890 2.16e+01 0.008 26.388 0.690 2.17e+01 0.004 25.999 0.513 1.68e+01 0.021 
355 4.292 0.352 1.35e+00 0.023 nan -inf nan nan 24.221 1.092 2.97e+01 0.011 24.589 0.973 3.12e+01 0.006 24.589 0.885 2.39e+01 0.011 
356 3.516 0.485 1.61e+00 0.013 8.769 0.409 2.33e+00 0.044 23.444 0.186 6.32e+00 0.039 45.192 0.703 2.60e+01 0.019 45.887 0.383 2.36e+01 0.020 
357 4.129 0.378 1.32e+00 0.027 nan -inf nan nan 17.108 1.163 3.13e+01 0.002 17.190 0.908 2.75e+01 0.010 16.699 0.643 1.47e+01 0.041 
358 nan -inf nan nan nan -inf nan nan 22.525 1.108 2.86e+01 0.006 22.831 0.937 2.66e+01 0.006 22.831 0.873 2.22e+01 0.008 
359 0.531 0.094 1.02e-01 0.166 3.046 0.039 3.01e-01 0.098 23.322 0.628 1.20e+01 0.033 24.242 0.588 1.64e+01 0.023 24.242 0.545 1.49e+01 0.017 
360 3.965 0.358 1.20e+00 0.029 8.789 0.280 2.37e+00 0.024 20.378 1.205 3.16e+01 0.002 20.440 0.854 3.09e+01 0.015 20.154 0.663 2.74e+01 0.038 
361 4.006 0.411 1.46e+00 0.023 8.319 0.411 2.94e+00 0.024 nan -inf nan nan 37.303 0.846 2.96e+01 0.005 38.018 0.293 1.66e+01 0.035 
362 3.965 0.215 2.14e-01 0.033 8.646 0.251 1.23e+00 0.049 nan -inf nan nan 32.765 0.913 2.94e+01 0.005 33.256 0.458 1.85e+01 0.030 
363 0.552 0.140 1.04e-01 0.120 nan -inf nan nan 13.879 1.414 4.18e+01 0.001 13.858 1.363 3.55e+01 0.005 13.817 1.203 2.42e+01 0.013 
364 nan -inf nan nan 5.580 1.428 1.62e+01 0.001 5.580 1.273 1.08e+01 0.003 5.560 1.145 9.45e+00 0.005 5.539 0.832 6.23e+00 0.025 
365 3.924 0.384 1.33e+00 0.021 nan -inf nan nan 14.655 0.044 3.59e+00 1.231 31.089 0.761 1.99e+01 0.022 30.680 0.285 7.82e+00 0.073 
366 4.129 0.395 1.42e+00 0.027 7.767 0.208 2.73e+00 0.031 20.767 0.750 1.38e+01 0.015 21.707 0.416 1.25e+01 0.035 20.992 0.311 4.61e+00 0.090 
367 4.579 0.236 2.29e-01 0.034 8.176 0.253 6.15e-01 0.036 nan -inf nan nan 42.699 0.839 3.24e+01 0.014 43.700 0.545 3.15e+01 0.020 
368 4.027 0.383 1.36e+00 0.022 7.031 0.364 2.63e+00 0.014 22.995 0.735 1.53e+01 0.009 23.485 0.290 9.94e+00 0.047 90.875 0.870 6.83e+01 0.022 
369 0.613 0.093 1.60e-01 0.099 0.593 0.229 1.08e-01 0.095 9.300 0.332 8.79e-01 0.029 8.626 0.291 1.07e+00 0.022 8.605 0.212 1.08e+00 0.120 
370 nan -inf nan nan 5.825 0.234 1.36e+00 0.033 5.437 0.107 8.52e-01 0.046 20.767 0.047 1.52e+00 0.220 20.849 0.031 2.08e+00 0.294 
371 3.209 0.388 9.79e-01 0.026 3.127 0.088 5.44e-01 0.134 25.325 1.215 3.59e+01 0.014 25.325 1.188 4.83e+01 0.009 25.325 1.118 6.62e+01 0.012 
372 0.572 0.090 1.30e-01 0.119 0.552 0.183 5.52e-01 0.117 17.844 0.220 5.59e+00 0.032 20.644 0.075 4.44e+00 0.080 35.586 0.098 4.08e+00 0.052 
373 nan -inf nan nan nan -inf nan nan 23.036 1.351 4.41e+01 0.014 22.974 1.226 5.67e+01 0.012 22.770 1.027 6.29e+01 0.018 
374 0.531 0.094 1.07e-01 0.148 0.531 0.181 5.31e-01 0.127 15.330 0.649 1.23e+01 0.019 15.269 0.500 1.10e+01 0.038 14.594 0.414 3.46e+00 0.036 
375 0.531 0.092 1.04e-01 0.152 9.014 0.187 1.16e+00 0.059 17.905 0.761 1.68e+01 0.003 17.905 0.621 1.33e+01 0.007 17.415 0.483 8.49e+00 0.021 
376 0.634 0.128 1.71e-01 0.063 0.613 0.134 1.25e-01 0.059 10.956 0.207 3.74e-01 0.019 4.824 0.035 3.45e-01 0.085 4.824 0.031 3.72e-01 0.072 
377 nan -inf nan nan 9.177 0.825 7.09e+00 0.006 18.457 0.833 1.87e+01 0.007 18.518 0.673 1.58e+01 0.006 18.396 0.514 1.05e+01 0.017 
378 2.596 0.850 2.93e+00 0.003 2.535 0.577 2.12e+00 0.026 2.453 0.358 4.41e-01 0.065 2.412 0.285 3.78e-01 0.075 2.391 0.239 3.54e-01 0.065 
379 3.843 0.266 2.75e-01 0.033 nan -inf nan nan 21.033 0.498 9.64e+00 0.018 21.053 0.132 5.51e+00 0.335 43.148 0.543 1.88e+01 0.034 
380 3.373 0.336 9.41e-01 0.029 8.830 0.256 5.57e-01 0.035 8.850 0.021 1.49e+00 1.692 18.478 0.366 7.44e+00 0.016 18.028 0.314 4.58e+00 0.022 
381 nan -inf nan nan 7.236 0.583 4.14e+00 0.035 14.696 0.538 1.02e+01 0.010 14.901 0.492 9.42e+00 0.011 14.901 0.461 8.63e+00 0.012 
382 nan -inf nan nan nan -inf nan nan nan -inf nan nan 37.057 0.832 2.99e+01 0.006 38.018 0.431 2.13e+01 0.009 
383 nan -inf nan nan 7.890 0.336 5.72e-01 0.037 5.968 0.080 8.94e-01 0.134 15.146 0.037 1.81e+00 1.030 33.276 0.614 2.47e+01 0.029 
384 4.108 0.358 1.04e+00 0.028 8.074 0.480 3.46e+00 0.021 18.375 1.436 5.44e+01 0.002 18.335 1.347 4.95e+01 0.004 18.335 1.232 3.43e+01 0.008 
385 2.535 0.217 8.04e-01 0.034 2.432 0.112 5.72e-01 0.052 2.351 0.230 3.49e-01 0.099 36.362 0.784 2.56e+01 0.021 35.504 0.563 2.48e+01 0.023 
386 0.593 0.081 1.40e-01 0.121 0.572 0.161 5.72e-01 0.125 nan -inf nan nan 44.681 1.148 5.59e+01 0.005 46.255 1.084 7.54e+01 0.003 
387 2.351 0.558 1.75e+00 0.024 2.289 0.385 1.28e+00 0.060 2.126 0.254 3.15e-01 0.108 2.044 0.214 2.86e-01 0.107 4.415 0.118 5.64e-01 0.245 
388 3.904 0.347 1.32e+00 0.018 nan -inf nan nan 22.668 1.670 9.64e+01 0.001 22.688 1.556 1.09e+02 0.001 22.668 1.450 1.40e+02 0.003 
389 0.572 0.096 1.27e-01 0.125 0.572 0.165 5.72e-01 0.117 25.652 0.987 2.42e+01 0.015 25.693 0.952 3.33e+01 0.009 25.652 0.904 4.01e+01 0.011 
390 3.107 1.053 4.49e+00 0.001 3.127 0.875 3.33e+00 0.002 3.066 0.648 2.09e+00 0.014 3.046 0.594 1.69e+00 0.015 2.984 0.553 1.27e+00 0.011 
391 0.552 0.106 1.12e-01 0.139 8.769 0.115 3.64e-01 0.051 18.437 0.264 6.24e+00 0.024 18.907 0.123 4.68e+00 0.048 54.554 0.151 8.18e+00 0.090 
392 2.964 0.114 4.87e-01 0.049 nan -inf nan nan 21.135 1.458 5.86e+01 0.005 21.135 1.415 7.16e+01 0.004 21.135 1.370 8.89e+01 0.007 
393 4.068 0.228 2.81e-01 0.037 nan -inf nan nan 9.913 0.887 1.42e+01 0.007 9.872 0.840 1.40e+01 0.007 9.872 0.701 1.02e+01 0.021 
394 0.634 0.110 1.75e-01 0.065 0.613 0.177 1.26e-01 0.045 14.758 0.307 4.64e+00 0.031 14.758 0.287 3.97e+00 0.020 14.758 0.292 3.11e+00 0.015 
395 4.149 0.378 1.26e+00 0.033 nan -inf nan nan 24.896 0.341 7.12e+00 0.032 18.498 0.051 3.95e+00 0.454 77.917 0.199 2.47e+01 0.046 
396 0.531 0.100 1.04e-01 0.142 9.014 0.247 5.10e-01 0.032 nan -inf nan nan 30.987 1.502 1.10e+02 0.001 30.619 1.386 1.16e+02 0.003 
397 nan -inf nan nan nan -inf nan nan 10.077 0.187 1.60e+00 0.268 nan -inf nan nan 65.653 0.519 3.21e+01 0.021 
398 1.717 0.143 5.23e-01 0.125 7.992 0.451 2.83e+00 0.025 nan -inf nan nan 30.987 0.294 1.67e+01 0.018 32.642 0.171 9.71e+00 0.110 
399 3.577 0.146 8.23e-01 0.057 8.176 0.444 2.45e+00 0.032 8.605 0.151 2.17e+00 0.047 8.155 0.267 1.27e+00 0.190 39.183 0.601 2.76e+01 0.028 
400 4.251 0.346 1.00e+00 0.041 nan -inf nan nan nan -inf nan nan 39.265 0.945 3.58e+01 0.012 39.674 0.751 4.50e+01 0.013 
401 nan -inf nan nan 6.602 0.076 1.83e+00 0.177 15.514 0.894 1.97e+01 0.008 15.289 0.586 1.76e+01 0.048 14.594 0.388 2.99e+00 0.080 
402 4.068 0.366 1.26e+00 0.028 nan -inf nan nan nan -inf nan nan nan -inf nan nan 55.617 0.334 2.92e+01 0.024 
403 nan -inf nan nan 5.968 0.279 2.35e+00 0.017 nan -inf nan nan 36.996 1.616 1.42e+02 0.002 37.139 1.451 1.93e+02 0.004 
404 0.552 0.070 1.34e-01 0.134 0.531 0.062 5.31e-01 0.278 27.062 0.832 2.00e+01 0.010 29.229 0.644 2.35e+01 0.005 27.573 0.319 1.08e+01 0.055 
405 0.552 0.061 1.18e-01 0.209 3.025 0.054 2.48e-01 0.059 7.052 0.028 5.37e-01 0.180 13.122 0.085 8.63e-01 0.051 13.122 0.080 5.04e+00 0.087 
406 nan -inf nan nan 6.418 0.586 3.46e+00 0.006 19.213 0.289 5.03e+00 0.033 12.714 0.094 2.48e+00 0.108 12.203 0.175 1.87e+00 0.089 
407 3.822 0.414 1.38e+00 0.021 9.014 0.308 8.90e-01 0.041 nan -inf nan nan 40.573 1.326 7.58e+01 0.003 40.900 1.113 8.73e+01 0.006 
408 4.027 0.374 1.14e+00 0.033 nan -inf nan nan nan -inf nan nan 39.122 1.094 4.65e+01 0.006 39.510 0.662 4.65e+01 0.028 
409 4.313 0.265 3.36e-01 0.039 8.033 0.175 8.23e-01 0.033 17.272 0.744 1.55e+01 0.010 17.292 0.666 1.51e+01 0.009 17.251 0.555 1.04e+01 0.020 
410 nan -inf nan nan nan -inf nan nan 14.921 1.440 5.37e+01 0.003 14.798 1.377 6.12e+01 0.003 14.758 1.324 6.95e+01 0.003 
411 3.965 0.450 1.81e+00 0.014 nan -inf nan nan 10.138 1.407 4.32e+01 0.004 10.138 1.307 5.19e+01 0.008 10.097 1.123 5.37e+01 0.018 
412 2.044 0.064 2.36e-01 0.059 6.132 0.062 2.84e-01 0.044 18.968 0.655 1.11e+01 0.020 18.989 0.530 1.29e+01 0.022 18.989 0.550 1.44e+01 0.020 
413 0.572 0.116 1.21e-01 0.112 8.953 0.332 2.11e+00 0.045 16.924 0.937 2.05e+01 0.010 16.924 0.885 2.46e+01 0.011 16.945 0.806 2.60e+01 0.019 
414 3.884 0.242 2.96e-01 0.032 nan -inf nan nan 20.644 0.669 1.22e+01 0.010 22.218 0.357 1.12e+01 0.011 22.198 0.244 7.91e+00 0.024 
415 2.126 0.126 5.91e-01 0.136 5.887 0.157 1.51e+00 0.072 17.599 1.036 2.51e+01 0.004 17.558 0.788 2.02e+01 0.012 16.638 0.532 6.10e+00 0.048 
416 4.068 0.389 1.36e+00 0.026 nan -inf nan nan nan -inf nan nan 31.007 1.112 5.06e+01 0.003 30.087 0.927 3.96e+01 0.021 
417 4.538 0.244 2.88e-01 0.037 8.626 0.463 3.44e+00 0.022 nan -inf nan nan 39.980 0.551 1.85e+01 0.015 40.042 0.241 1.47e+01 0.030 
418 3.720 0.650 2.01e+00 0.026 3.761 0.361 1.67e+00 0.030 3.536 0.239 5.45e-01 0.074 3.209 0.223 3.21e+00 0.132 3.189 0.208 3.19e+00 0.086 
419 3.536 0.169 2.12e-01 0.029 8.748 0.388 3.10e+00 0.024 19.724 1.185 3.01e+01 0.005 19.786 1.032 3.35e+01 0.005 19.745 0.947 3.20e+01 0.006 
420 4.047 0.495 1.66e+00 0.024 7.604 0.406 2.30e+00 0.024 nan -inf nan nan 32.499 1.440 8.43e+01 0.001 32.377 1.095 7.24e+01 0.006 
421 nan -inf nan nan 6.520 1.439 1.45e+01 0.001 6.500 0.842 8.92e+00 0.010 6.398 0.689 6.02e+00 0.025 6.255 0.493 3.06e+00 0.054 
422 4.211 0.261 1.14e+00 0.025 8.155 0.154 2.66e+00 0.255 14.042 1.517 6.00e+01 0.002 14.042 1.457 6.57e+01 0.003 14.042 1.364 6.34e+01 0.007 
423 3.168 0.135 7.73e-01 0.056 8.196 0.303 8.67e-01 0.040 21.584 0.698 1.30e+01 0.034 21.973 0.763 2.47e+01 0.031 22.014 0.765 3.89e+01 0.026 
424 3.475 0.130 3.22e-01 0.057 nan -inf nan nan nan -inf nan nan nan -inf nan nan 64.263 0.879 7.02e+01 0.007 
425 nan -inf nan nan 4.824 1.301 1.17e+01 0.002 4.803 1.131 1.12e+01 0.006 4.783 0.997 8.90e+00 0.012 4.762 0.803 6.36e+00 0.019 
426 2.269 0.108 5.29e-01 0.067 6.050 0.277 6.06e-01 0.027 15.718 0.472 5.51e+00 0.036 15.677 0.431 4.03e+00 0.032 15.677 0.424 2.01e+00 0.017 
427 2.657 0.979 3.54e+00 0.002 2.616 0.685 2.34e+00 0.018 2.494 0.377 4.36e-01 0.107 2.473 0.332 3.96e-01 0.083 2.473 0.285 3.76e-01 0.051 
428 4.129 0.402 1.37e+00 0.027 8.094 0.354 2.60e+00 0.024 22.504 0.458 9.80e+00 0.009 44.293 0.472 1.76e+01 0.028 43.251 0.249 2.20e+01 0.090 
429 4.108 0.353 1.08e+00 0.038 8.155 0.329 1.29e+00 0.041 12.652 0.361 3.58e+00 0.029 12.652 0.330 3.05e+00 0.019 12.611 0.312 2.34e+00 0.011 
430 3.965 0.348 2.93e-01 0.038 nan -inf nan nan 11.283 0.111 3.27e+00 0.427 11.242 0.097 3.00e+00 0.392 11.242 0.090 2.58e+00 0.235 
431 nan -inf nan nan nan -inf nan nan 13.879 1.304 3.28e+01 0.002 13.817 1.158 2.62e+01 0.008 13.633 0.874 1.66e+01 0.022 
432 3.740 0.169 2.30e-01 0.028 nan -inf nan nan 12.243 1.284 4.06e+01 0.005 12.243 1.143 4.97e+01 0.011 12.182 1.007 5.34e+01 0.016 
433 0.552 0.064 1.25e-01 0.160 0.531 0.128 5.31e-01 0.139 20.460 0.582 1.04e+01 0.018 20.481 0.368 8.92e+00 0.019 18.335 0.287 2.91e+00 0.186 
434 4.108 0.362 1.33e+00 0.018 nan -inf nan nan 20.399 0.473 9.24e+00 0.014 19.908 0.412 8.51e+00 0.037 19.868 0.499 7.51e+00 0.035 
435 nan -inf nan nan nan -inf nan nan 20.072 1.315 3.53e+01 0.001 20.072 0.947 2.77e+01 0.005 19.724 0.768 2.13e+01 0.010 
436 4.108 0.222 3.09e-01 0.040 7.542 0.534 3.42e+00 0.022 7.501 0.198 1.74e+00 0.064 6.582 0.191 1.10e+00 0.076 6.500 0.205 9.60e-01 0.084 
437 3.843 0.116 2.39e-01 0.065 2.575 0.037 3.40e-01 0.273 nan -inf nan nan 32.377 0.818 2.52e+01 0.007 32.336 0.318 9.73e+00 0.069 
438 3.843 0.398 1.43e+00 0.020 7.992 0.224 2.27e+00 0.021 19.070 1.206 2.94e+01 0.002 19.070 0.904 2.60e+01 0.006 18.621 0.656 1.50e+01 0.025 
439 nan -inf nan nan nan -inf nan nan 20.889 1.403 3.97e+01 0.005 20.889 1.188 3.21e+01 0.011 20.889 1.094 2.29e+01 0.016 
440 0.593 0.106 1.41e-01 0.096 0.572 0.208 5.72e-01 0.118 16.107 0.685 1.33e+01 0.008 16.107 0.607 1.29e+01 0.008 16.045 0.517 9.20e+00 0.020 
441 4.395 0.294 3.54e-01 0.045 8.401 0.272 1.75e+00 0.024 nan -inf nan nan 34.543 1.683 1.59e+02 0.001 34.686 1.388 1.31e+02 0.003 
442 nan -inf nan nan 8.687 0.840 6.96e+00 0.004 18.825 1.278 3.03e+01 0.006 18.825 1.130 2.86e+01 0.010 18.702 1.027 2.30e+01 0.012 
443 nan -inf nan nan nan -inf nan nan 14.471 1.059 2.54e+01 0.004 14.410 0.861 2.33e+01 0.012 14.206 0.679 1.50e+01 0.028 
444 4.517 0.166 1.89e-01 0.028 nan -inf nan nan 12.162 0.631 1.02e+01 0.017 12.121 0.551 8.40e+00 0.025 12.080 0.476 3.93e+00 0.030 
445 nan -inf nan nan 6.152 0.743 4.17e+00 0.007 6.112 0.312 2.29e+00 0.020 5.968 0.279 1.46e+00 0.036 5.968 0.274 1.19e+00 0.031 
446 3.434 0.313 2.93e-01 0.037 7.665 0.215 7.78e-01 0.036 19.234 1.217 3.02e+01 0.003 19.234 0.990 2.93e+01 0.004 19.234 0.913 2.68e+01 0.005 
447 3.863 0.311 2.96e-01 0.042 7.236 0.152 5.87e-01 0.056 nan -inf nan nan 37.998 1.018 3.84e+01 0.011 38.120 0.856 5.23e+01 0.013 
448 0.552 0.115 1.08e-01 0.129 8.115 0.299 4.25e-01 0.033 8.094 0.106 1.14e+00 0.185 44.681 1.202 6.20e+01 0.008 46.276 1.082 8.18e+01 0.006 
449 0.552 0.091 1.09e-01 0.167 3.107 0.043 3.13e-01 0.121 nan -inf nan nan 35.238 1.219 5.51e+01 0.005 34.707 0.990 7.36e+01 0.020 
450 4.149 0.373 1.35e+00 0.026 nan -inf nan nan nan -inf nan nan 29.536 1.127 5.03e+01 0.005 29.065 0.784 4.93e+01 0.031 
451 4.374 0.295 3.17e-01 0.039 6.030 0.149 1.56e+00 0.047 6.009 0.034 1.13e+00 0.207 5.989 0.034 1.02e+00 0.117 11.303 0.138 3.22e+00 0.088 
452 nan -inf nan nan 8.605 0.372 1.85e+00 0.040 26.326 0.383 9.35e+00 0.017 nan -inf nan nan 55.617 0.325 2.74e+01 0.045 
